y_true,x,y_pred_linear_mse,y_pred_LR_mse,y_pred_RF_mse,y_pred_linear_custom_loss
0.2419707245191434,1.0,0.1963,0.1950938776341685,0.2416849152627519,0.2301
0.2414862992911008,1.002002002002002,0.196,0.1948610985246002,0.2415250549374979,0.2295
0.2410018779416811,1.004004004004004,0.1958,0.1946283194150319,0.2410648544221864,0.2294
0.2405174643423343,1.006006006006006,0.1956,0.1943955403054636,0.2406046603778724,0.2291
0.2400330623566438,1.008008008008008,0.1953,0.1941627611958953,0.2401105690721743,0.2286
0.2395486758402796,1.01001001001001,0.1951,0.193929982086327,0.2396116484831902,0.2284
0.239064308640953,1.012012012012012,0.1948,0.1936972029767587,0.2391466529556943,0.2279
0.2385799645983709,1.014014014014014,0.1946,0.1934644238671904,0.2387107398805077,0.2275
0.2380956475441904,1.016016016016016,0.1946,0.1932316447576221,0.2381343974538485,0.2275
0.2376113613019741,1.018018018018018,0.1941,0.1929988656480538,0.2377711797644111,0.2268
0.2371271096871447,1.02002002002002,0.1938,0.1927660865384856,0.237495154525904,0.2263
0.236642896506941,1.022022022022022,0.1936,0.1925333074289172,0.2365799674185017,0.226
0.2361587255603733,1.024024024024024,0.1934,0.192300528319349,0.2361780993775405,0.2257
0.2356746006381793,1.026026026026026,0.1934,0.1920677492097806,0.2358004760307093,0.2252
0.2351905255227808,1.028028028028028,0.1929,0.1918349701002124,0.2352873490808892,0.2247
0.2347065039882395,1.03003003003003,0.1926,0.191602190990644,0.2347839587147016,0.2245
0.2342225398002142,1.032032032032032,0.1926,0.1913694118810758,0.2343241831654,0.2246
0.2337386367159176,1.034034034034034,0.1921,0.1911366327715075,0.2338644627035178,0.224
0.2332547984840735,1.036036036036036,0.1919,0.1909038536619391,0.2333854521778697,0.2234
0.2327710288448747,1.038038038038038,0.1917,0.1906710745523709,0.2328339385368671,0.223
0.2322873315299399,1.04004004004004,0.1917,0.1904382954428026,0.2323744091024144,0.223
0.2318037102622728,1.042042042042042,0.1914,0.1902055163332343,0.2319246287299129,0.2223
0.2313201687562194,1.044044044044044,0.1909,0.189972737223666,0.2314362346130716,0.2223
0.2308367107174273,1.046046046046046,0.1909,0.1897399581140977,0.2311364881038244,0.2216
0.2303533398428039,1.048048048048048,0.1907,0.1895071790045294,0.2306192479516688,0.2214
0.229870059820476,1.05005005005005,0.1904,0.1892743998949611,0.2299571231954018,0.2207
0.2293868743297486,1.052052052052052,0.1902,0.1890416207853928,0.2293337807717713,0.2208
0.228903787041065,1.054054054054054,0.19,0.1888088416758245,0.2288844933091129,0.2203
0.228420801615966,1.056056056056056,0.1897,0.1885760625662562,0.2284836033652804,0.22
0.2279379217070507,1.058058058058058,0.1895,0.1883432834566879,0.2281648922559584,0.2196
